ID,FTF,OLA,OLS,HYA,HYS,HYF,8to10,10to12,12to3,3to5,5to8,timeblock,MWF,TR,MW,MF,oneday,online,resstatus,class,age,workstatus,major
98415248,1,2,3,4,5,6,5,2,3,3,3,3,5,,,,,2,0,3,2,3,22
98415249,1,6,4,5,3,2,1,2,3,4,5,3,5,,,,,2,0,3,2,2,8
98415250,2,1,3,5,4,6,1,1,2,2,5,3,5,3,,,,2,1,4,2,2,6
98415253,1,3,4,6,5,2,2,1,3,4,5,2,,3,1,,,2,0,4,3,2,8
98415255,2,1,3,4,5,6,3,1,2,5,5,2,,3,,,,2,1,1,2,2,5
98415257,1,4,5,3,2,4,1,2,3,4,5,3,5,,,,,2,1,1,2,3,14
98415271,2,3,6,4,5,1,5,1,1,3,4,3,,3,1,,,2,0,2,2,2,22
98415280,1,6,2,4,3,5,3,1,2,4,5,2,5,3,,,,2,0,2,2,3,29
98415285,1,5,4,2,3,5,,,,,,,,,,,,,,,,,
98415299,4,1,5,2,3,6,5,1,2,4,5,2,,3,1,,,2,1,1,2,3,3
98415300,1,2,6,4,5,3,3,1,2,4,5,2,,3,,,,2,0,3,2,3,20
98415308,6,1,2,3,4,5,5,1,2,3,4,1,5,,,,,1,1,2,2,3,8
98415312,1,2,4,3,5,6,1,2,3,4,5,3,5,,,,,2,1,2,2,2,4
98415324,1,4,6,3,5,2,1,1,2,4,5,3,5,,,,,2,1,1,1,3,7
98415326,1,2,4,3,5,6,1,2,4,3,5,2,5,3,,,,2,1,1,2,2,23
98415328,1,2,3,5,4,6,2,1,3,4,5,3,5,,,,,2,1,2,2,3,7
98415330,1,6,5,4,3,2,1,1,3,5,5,3,5,3,,,,2,0,2,5,2,5
98415349,6,1,5,3,4,2,5,4,1,1,1,1,,,,,4,1,0,3,2,2,23
98415366,4,3,2,6,5,1,2,1,1,4,5,2,,3,1,,,1,1,3,2,2,12
98415370,1,2,6,3,5,4,5,4,2,2,3,2,,,1,,,2,1,1,1,3,3
98415372,1,2,4,3,5,6,5,1,2,3,4,2,,3,1,,,2,1,4,2,2,7
98415374,2,1,6,4,5,3,1,2,3,4,5,2,,3,,,,2,0,4,2,2,26
98415382,1,3,5,2,4,6,4,1,2,3,5,2,5,3,,,,2,0,2,2,2,28
98415388,1,2,3,4,5,6,1,1,4,5,5,2,5,3,,,,2,1,1,1,3,14
98415397,1,4,5,3,2,6,4,2,1,3,5,3,5,,,,,2,1,1,1,1,8
98415399,1,2,5,3,4,6,1,2,3,4,5,3,5,,,,4,2,1,2,1,2,29
98415408,1,2,4,5,6,3,3,1,2,5,4,2,,3,1,,,2,1,3,2,3,26
98415421,3,2,4,5,6,1,5,1,3,3,4,2,,3,1,,,2,0,1,1,2,20
98415437,3,2,1,4,5,6,1,3,4,4,5,1,,,1,,,1,0,4,3,2,23
98415438,1,2,5,3,6,4,3,,2,5,5,2,5,,,,,2,0,1,2,2,4
98415439,1,6,4,5,2,3,5,2,2,3,4,2,,3,,,,2,0,4,5,3,27
98415440,1,2,4,5,6,4,4,2,1,3,5,2,5,3,,,,2,0,1,1,2,3
98415451,1,5,6,3,4,2,4,2,1,3,5,2,5,3,1,,,2,1,2,2,3,8
98415460,1,2,3,4,6,5,3,1,2,4,5,2,5,3,,,,2,0,2,2,1,23
98415503,6,1,3,4,5,2,5,5,5,2,2,1,,,,,4,1,0,4,5,1,5
98415527,1,6,5,4,2,3,4,1,2,3,5,2,,3,,,,2,0,4,2,2,16
98415541,1,2,2,3,1,4,1,2,1,3,4,1,,,1,,,2,0,4,4,2,23
98415547,2,1,3,4,6,5,2,1,3,4,5,2,5,,1,,,1,0,2,2,1,26
98415550,1,6,2,5,3,4,,,,,,,,,,,,,,,,,
98415574,1,2,6,6,6,6,5,2,1,3,5,3,5,3,,,,2,1,1,2,2,6
98415633,1,3,5,6,4,2,1,1,1,5,5,3,5,,,,,2,0,2,5,3,6
98415655,6,1,2,3,4,5,3,1,2,4,5,3,5,,,,,2,0,3,2,2,5
98415658,1,2,6,3,4,5,5,1,3,4,5,2,,3,1,,,2,0,3,2,3,33
98415664,1,4,4,6,3,2,5,3,1,2,4,2,,3,,,,2,1,2,1,2,25
98415667,1,3,4,4,4,2,5,1,1,1,5,3,5,3,,,,2,1,1,2,2,23
98415669,1,2,3,4,5,6,2,2,3,4,4,3,5,3,,,,2,1,1,1,2,20
98415692,3,1,6,4,2,3,3,1,2,4,5,2,5,,,,,2,1,2,1,2,7
98415702,1,3,6,4,5,2,4,1,2,3,5,3,5,,,,,2,1,4,2,2,22
98415720,4,1,2,3,5,6,5,1,3,5,5,2,,3,,,,1,1,2,2,2,30
98415734,1,5,2,4,3,6,3,1,2,4,5,3,5,3,,,,2,0,1,1,3,7
98415769,6,2,1,3,4,5,2,4,4,3,1,1,,3,,,4,1,0,4,2,2,27
98415798,2,1,3,4,5,6,3,3,2,2,3,2,,3,,,,2,0,2,2,2,14
98415808,1,3,6,5,4,2,5,3,1,1,5,3,5,,,,,2,1,2,2,2,16
98415810,1,2,5,3,4,6,3,1,2,4,5,3,5,3,,,,2,0,1,1,3,26
98415816,1,3,2,4,5,6,5,1,3,4,5,3,5,,,,,2,1,2,2,3,31
98415835,1,2,5,3,4,6,2,1,3,4,5,3,5,3,1,,,2,1,2,2,2,17
98415849,1,2,6,4,4,3,2,1,3,4,5,1,,3,,,,2,1,1,2,2,11
